,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total
Première Ligne,0,86,0.0,0%,0,0.0,0,0,Gratuit,Gratuit
Écailles Magiques,0,86,0.0,0%,0,0.0,0,2,0.0,0.0
Bouclier Efficient,0,86,0.0,0%,0,0.0,0,0,Gratuit,Gratuit
Sceau Profanateur,0,86,0.0,0%,0,0.0,0,2,0.0,0.0
Emblème Ancien,0,86,0.0,0%,0,0.0,0,3,0.0,0.0
L'Oeil du Héraut,0,86,0.0,0%,0,0.0,0,0,Gratuit,Gratuit
Mental d'Acier,0,86,0.0,0%,0,0.0,0,2,0.0,0.0
Chasse au Gros,0,86,0.0,0%,0,0.0,0,3,0.0,0.0
Masque du Baron,0,86,0.0,0%,0,0.0,0,2,0.0,0.0
Sceau Draconique Ancestral,0,86,0.0,0%,0,0.0,0,0,Gratuit,Gratuit
Horloge Divine,0,86,0.0,0%,0,0.0,0,0,Gratuit,Gratuit
Être de Lumière,0,86,0.0,0%,0,0.0,0,1,0.0,0.0
Marteau Conquérant,0,86,0.0,0%,0,0.0,0,1,0.0,0.0
Perce-Écailles,0,86,0.0,0%,0,0.0,0,3,0.0,0.0
Brise-remparts,0,86,0.0,0%,0,0.0,0,0,Gratuit,Gratuit
