,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total
L'Oeil du Héraut,0,76,0.0,0%,0,0.0,0,0,Gratuit,Gratuit
Marteau Conquérant,0,76,0.0,0%,0,0.0,0,1,0.0,0.0
Poigne d'Or,0,76,0.0,0%,0,0.0,0,1,0.0,0.0
Masque du Baron,0,76,0.0,0%,0,0.0,0,2,0.0,0.0
Écailles Magiques,0,76,0.0,0%,0,0.0,0,2,0.0,0.0
Chasse au Gros,0,76,0.0,0%,0,0.0,0,3,0.0,0.0
Âme de Dragon Élémentaire,0,76,0.0,0%,0,0.0,0,1,0.0,0.0
Griffes Démoniaques,0,76,0.0,0%,0,0.0,0,1,0.0,0.0
Emblème Ancien,0,76,0.0,0%,0,0.0,0,3,0.0,0.0
Bouclier Efficient,0,76,0.0,0%,0,0.0,0,0,Gratuit,Gratuit
Lame Insatiable,0,76,0.0,0%,0,0.0,0,2,0.0,0.0
Sceau Profanateur,0,76,0.0,0%,0,0.0,0,2,0.0,0.0
